Contestant ID,Contestant Name,Gender,Notes,Offscreen Earnings,Offscreen Games Won
201,Jane Sauers,F,,,
202,Babette Rutherford,F,,,
203,B. J. Nussler,F,,,
204,Ronnie Schwartz,F,,,
205,Susie Backus,F,,,
206,Gary Craber,M,,,
207,Gladys Perry,F,,,
208,Sue DiBennedetto,F,,,
209,Valerie Wood,F,,,
210,Nancy Jones,F,,,
211,Linda Rosenberg,F,,,
212,Donald Boyt,M,,,
213,Linda Meloy,F,,,
214,Elena Weber,F,,,
215,Beverly Clevan,F,,,
216,Margaret Moore,F,,,
217,Chris Lyons,F,,,
218,Clark J. Colby,M,,,
219,Pam Reinhardt,F,,,
220,Kathleen Ellis,F,,,
221,Jim Van Gundy,M,,,
222,Kathy Roberts,F,,,
223,Susan Alch,F,,,
224,Kathy Coons,F,,,
225,Barbara McAllister,F,,,
226,Michael Schmidt,M,,,
227,Susan Foley,F,,,
228,Cindy Delamico,F,,,
229,Lou Mason,M,,,
230,Debbie King,F,,,
231,Carol Hoffman,F,,,
232,Gail Mason,F,,,
233,Marjorie Grant,F,,,
234,Bill Gordine,M,,,
235,Mary Macias,F,,,
236,Susie Hash,F,,,
237,Robin Barrett,F,,,
238,Michael Herbs,M,,,
239,Mary Duncan,F,,,
240,Laurie Healy,F,,,
241,Kathy Wardlaw,F,,,
242,Jim Lance,M,,,
243,Martha Denning,F,,,
244,Sheryl Mills,F,,,
245,Kim Krapowski,F,,,
246,Jack Houghton,M,,,
247,Carol Stivey,F,,,
248,Barbara Figueroa,F,,,
249,Lynn Lawson,F,,,
250,Sharon Lewis,F,,,
251,Terry Flynn,F,,,
252,Jack Doyle,M,,,
253,Donna Linell,F,,,
254,Georgianna Reed,F,,,
255,Terry Godach,F,,,
256,Michael Hadley,M,,,
257,Pat Lao,F,,,
258,Mary Strauss,F,,,
259,Debbie Marialdo,F,,,
260,Ray Flores,M,,,
261,Jolene Layman,F,,,
262,Peggy Barfield,F,,,
263,Clyde Karns,M,,,
264,Bonnie Reilly,F,,,
265,Judy Benson,F,,,
266,Shirley Kilgore,F,,,
